Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop
CO_366:0000290,VgIndx_E,,Trial evaluation,,,,IITA,Michael Abberton,,EN,Bambara groundnut
CO_366:0000294,PetCol_E_col,,Trial evaluation,,,,IITA,Michael Abberton,,EN,Bambara groundnut
CO_366:0000297,TestPat_E_1to19,,Trial evaluation,,,,IITA,Michael Abberton,,EN,Bambara groundnut
CO_366:0000300,Flw50_Ct_day,,Trial evaluation,,,,"IITA, UoN, IPGRI","Michael Abberton, Sean Mayes",,EN,Bambara groundnut
CO_366:0000304,PhotoReacTpe_E_1to3,,Trial evaluation,,,,IPGRI,,,EN,Bambara groundnut
CO_366:0000308,SdCol_E_1to9,,Trial evaluation,Harvest,,,IPGRI,,,EN,Bambara groundnut
CO_366:0000312,SdCarb_Cp_pct,,Trial evaluation,,,,IPGRI,,,EN,Bambara groundnut
CO_366:0000316,LTemp_E_Reac,,Trial evaluation,,,,IPGRI,,,EN,Bambara groundnut
CO_366:0000320,Drght_E_Reac,,Trial evaluation,,,,IPGRI,,,EN,Bambara groundnut
CO_366:0000324,PtInterNodRatio_Cp_ratio,,Trial evaluation,Growth,,,UoN,Sean Mayes,,EN,Bambara groundnut
CO_366:0000327,PodDryWt_Cp_g,,Trial evaluation,Harvest,,,UoN,Sean Mayes,,EN,Bambara groundnut
CO_366:0000330,SingSW_Cp_g,,Trial evaluation,Harvest,,,UoN,Sean Mayes,,EN,Bambara groundnut
CO_366:0000333,ShW_Cp_g,,Trial evaluation,Harvest,,,UoN,Sean Mayes,,EN,Bambara groundnut
CO_366:0000336,Shell_Cp_Pct,,Trial evaluation,Harvest,,,"UoN, IITA","Sean Mayes, Michael Abberton",,EN,Bambara groundnut
CO_366:0000339,SdWt_Cp_g,,Trial evaluation,harvest,,,UoN,Sean Mayes,,EN,Bambara groundnut
CO_366:0000343,SdN_Ct_perplant,,Trial evaluation,harvest,,,UoN,Sean Mayes,,EN,Bambara groundnut
CO_366:0000346,ShtDWT_Cp_g,,Trial evaluation,harvest,,,UoN,Sean Mayes,,EN,Bambara groundnut
CO_366:0000349,DMat_Ct_Day,,Trial evaluation,Full maturity,,,"UoN, IITA","Sean Mayes, Michael Abberton",,EN,Bambara groundnut
CO_366:0000352,SdB_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000355,SdMg_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000358,SdP_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000361,SdS_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000364,SdK_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000367,SdCa_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000370,SdTi_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000373,SdBe_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000376,SdAl_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000379,SdV_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000382,SdCr_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000385,SdMn_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000388,SdFe_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000391,SdCo_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000394,SdNi_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000397,SdCu_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000400,SdZn_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000403,SdGa_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000406,SdAs_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000409,SdSe_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000412,SdRb_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000415,SdSr_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000418,SdMo_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000421,SdAg_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000424,SdCd_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000427,SdCs_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000430,SdBa_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000433,SdTl_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000436,SdPb_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000439,SdU_M_mgkg,,Trial evaluation,Post-Harvest,,,UoN,Sean Mayes,2019-08-13 00:00:00,EN,Bambara groundnut
CO_366:0000440,WatCont_Cp_pct,,Trial evaluation,Post-Harvest,,,UoN,Waikuanho,2019-10-30 00:00:00,EN,Bambara groundnut
CO_366:0000441,Lf_Area_M_cm2,,Trial evaluation,Growth,,,UoN,Waikuanho,2019-10-30 00:00:00,EN,Bambara groundnut
CO_366:0000442,StomDen_Cp_cm2,,Trial evaluation,Growth,,,UoN,Waikuanho,2019-10-30 00:00:00,EN,Bambara groundnut
